Timestamp,SampleIndex,Left_Knee_Angle,Right_Knee_Angle,Left_Hip_Angle,Right_Hip_Angle,Processing_Time_Ms
04:11:17.210,152,0.9,1.9,47.2,48.2,1.32
04:11:17.327,153,3.0,2.3,46.6,46.7,1.0
04:11:17.429,154,2.5,0.6,44.7,46.2,1.06
04:11:17.532,155,1.5,1.9,42.4,42.3,0.89
04:11:17.632,156,0.6,1.4,33.0,33.2,0.89
04:11:17.733,157,0.6,1.8,24.9,27.5,0.96
04:11:17.846,158,0.6,2.2,25.9,29.4,2.59
04:11:17.951,159,1.3,1.2,36.7,34.9,2.0
04:11:18.053,160,0.6,3.3,37.4,38.1,2.04
04:11:18.164,161,1.6,0.9,51.5,53.4,3.69
04:11:18.271,162,1.9,1.6,46.5,46.1,3.28
04:11:18.386,163,1.1,1.5,49.5,52.5,3.97
04:11:18.495,164,2.8,0.1,45.5,45.5,3.83
04:11:18.600,165,0.7,0.5,42.5,41.3,0.94
04:11:18.708,166,1.2,0.7,34.3,36.5,4.16
04:11:18.811,167,0.1,0.7,37.2,38.6,0.86
04:11:18.922,168,1.9,1.8,41.8,40.7,0.84
04:11:19.026,169,1.6,0.3,49.3,49.5,0.82
04:11:19.131,170,0.2,0.3,57.8,57.5,0.86
04:11:19.243,171,0.2,1.3,52.2,52.9,0.83
04:11:19.348,172,0.8,3.9,53.1,54.1,0.82
04:11:19.457,173,2.7,0.8,50.9,49.8,1.69
04:11:19.559,174,3.7,0.7,39.5,39.7,0.88
04:11:19.666,175,3.6,2.3,33.2,34.1,0.9
04:11:19.777,176,0.2,2.4,37.7,40.6,0.86
04:11:19.882,177,1.8,2.7,32.4,33.2,1.04
04:11:19.991,178,0.1,0.7,38.9,37.8,0.85
04:11:20.098,179,2.0,0.8,44.1,46.7,0.85
04:11:20.217,180,0.5,1.0,47.8,45.4,4.27
04:11:20.318,181,0.3,1.7,51.0,49.1,3.84
04:11:20.427,182,0.7,1.1,48.2,49.1,3.88
04:11:20.527,183,0.9,0.6,41.3,40.9,0.79
04:11:20.639,184,0.7,0.2,42.5,40.7,1.09
04:11:20.742,185,1.2,2.1,43.3,42.4,1.69
04:11:20.844,186,0.3,0.2,43.2,39.4,0.79
04:11:20.948,187,0.6,2.8,38.9,42.0,0.87
04:11:21.063,188,3.0,0.2,56.7,54.4,3.87
04:11:21.164,189,1.8,1.7,53.6,55.5,1.02
04:11:21.268,190,0.1,1.6,64.5,63.7,0.85
04:11:21.383,191,1.6,2.8,62.9,60.7,3.08
04:11:21.498,192,1.0,1.6,54.4,53.7,3.81
04:11:21.609,193,6.8,0.9,47.9,49.4,1.08
04:11:21.726,194,2.8,1.2,44.2,47.3,0.87
04:11:21.839,195,1.1,1.4,42.2,43.4,1.25
04:11:21.954,196,1.2,0.9,39.9,42.3,0.98
04:11:22.065,197,1.7,3.7,36.8,35.2,0.91
04:11:22.183,198,0.5,1.4,41.2,41.5,3.3
04:11:22.294,199,0.0,2.3,47.1,47.0,1.58
04:11:22.399,200,0.8,0.1,49.1,47.3,3.14
04:11:22.498,201,0.9,0.9,52.6,51.9,0.98
04:11:22.605,202,1.0,0.8,56.9,58.6,1.01
04:11:22.712,203,3.7,1.4,53.3,54.7,0.81
04:11:22.821,204,1.7,1.6,48.7,47.3,1.35
04:11:22.930,205,0.8,0.4,50.0,52.6,3.96
04:11:23.043,206,1.1,0.5,52.1,52.7,0.81
04:11:23.146,207,0.5,0.1,50.6,51.6,0.82
04:11:23.251,208,1.4,1.6,48.8,51.7,0.88
04:11:23.365,209,1.3,0.2,51.2,48.2,3.9
04:11:23.463,210,0.8,0.4,48.5,50.0,0.8
04:11:23.565,211,1.2,0.0,45.9,50.2,0.85
04:11:23.666,212,1.9,1.9,40.1,36.1,1.02
04:11:23.780,213,0.9,3.4,27.8,29.3,1.04
04:11:23.881,214,0.5,2.5,25.7,23.9,0.96
04:11:23.988,215,3.4,1.9,20.3,22.7,1.09
04:11:24.095,216,0.6,1.5,19.1,16.7,0.8
04:11:24.197,217,0.0,0.0,24.6,23.1,0.86
04:11:24.306,218,1.3,0.5,19.4,20.4,0.92
04:11:24.411,219,0.5,2.0,19.2,22.2,2.32
04:11:24.530,220,2.3,0.4,19.2,17.9,3.82
04:11:24.643,221,1.5,3.0,20.4,19.4,0.85
04:11:24.748,222,2.2,2.6,22.8,19.8,0.88
04:11:24.854,223,0.0,3.6,18.8,21.3,0.97
04:11:24.964,224,2.3,1.6,7.1,10.9,2.03
04:11:25.064,225,12.0,2.0,24.6,25.3,0.86
04:11:25.171,226,2.1,2.2,28.7,26.7,0.9
04:11:25.272,227,2.9,2.0,4.8,5.4,0.97
04:11:25.380,228,1.7,1.2,4.5,7.6,0.9
04:11:25.487,229,2.9,1.2,8.7,8.5,1.2
04:11:25.598,230,0.8,0.0,8.8,5.9,3.96
04:11:25.703,231,1.0,2.9,6.4,6.7,0.83
04:11:25.805,232,0.4,2.4,7.0,7.9,0.95
04:11:25.914,233,3.0,2.3,7.8,8.8,1.75
04:11:26.030,234,3.2,0.5,8.7,5.4,3.86
04:11:26.135,235,4.8,1.2,6.4,6.2,1.18
04:11:26.251,236,0.1,0.0,8.8,5.9,3.05
04:11:26.361,237,4.4,1.5,8.0,10.1,0.91
04:11:26.462,238,3.7,3.1,9.2,8.8,0.83
04:11:26.570,239,0.4,2.6,10.3,9.8,0.86
04:11:26.672,240,5.3,0.6,6.3,8.1,1.0
04:11:26.782,241,0.9,2.9,6.7,8.1,1.35
04:11:26.893,242,2.1,0.5,4.7,6.5,0.87
04:11:27.003,243,1.8,0.4,6.2,4.4,0.95
04:11:27.104,244,2.6,4.9,8.1,9.1,0.94
04:11:27.211,245,0.6,1.4,7.9,9.6,0.89
04:11:27.317,246,0.5,3.6,7.5,8.5,0.94
04:11:27.425,247,3.5,0.9,9.0,7.5,0.91
04:11:27.532,248,0.9,0.4,8.9,8.7,1.1
04:11:27.639,249,4.1,0.6,6.4,9.9,0.98
04:11:27.748,250,2.9,0.4,9.7,9.3,1.28
04:11:27.858,251,2.9,0.2,7.5,7.3,0.79
04:11:27.961,252,1.2,1.3,11.7,11.1,0.85
04:11:28.066,253,1.7,2.5,8.5,10.0,0.81
04:11:28.173,254,0.2,2.4,11.0,10.6,1.0
04:11:28.280,255,1.5,3.3,10.4,13.3,1.03
04:11:28.381,256,1.2,2.2,7.4,7.1,0.96
04:11:28.481,257,1.4,0.6,9.2,12.1,1.01
04:11:28.584,258,0.1,2.2,14.2,12.2,0.97
04:11:28.686,259,0.3,3.3,10.6,7.9,0.88
04:11:28.793,260,1.0,0.7,10.4,8.9,0.85
04:11:28.907,261,0.7,0.3,7.7,8.8,3.82
04:11:29.008,262,0.0,1.8,9.9,10.7,0.87
04:11:29.123,263,2.0,3.4,10.6,6.2,3.89
04:11:29.225,264,1.3,3.4,9.7,10.1,0.83
04:11:29.333,265,3.1,1.7,9.6,10.0,1.21
04:11:29.437,266,1.6,2.5,11.8,12.6,0.96
04:11:29.545,267,1.0,1.9,10.3,11.3,0.81
04:11:29.658,268,6.7,3.2,10.6,10.8,0.8
04:11:29.778,269,1.8,1.5,9.9,12.1,3.89
04:11:29.886,270,2.8,0.9,7.3,6.9,3.94
04:11:29.999,271,0.1,2.4,8.0,7.9,1.48
04:11:30.107,272,1.9,3.9,10.9,9.6,1.2
04:11:30.212,273,0.9,1.1,11.6,11.1,0.86
04:11:30.314,274,1.6,1.0,9.0,10.9,0.87
04:11:30.422,275,1.0,3.4,11.6,8.2,2.53
04:11:30.525,276,0.4,2.0,10.7,9.8,0.9
04:11:30.627,277,0.1,1.2,12.7,12.5,0.85
04:11:30.736,278,2.0,0.0,10.4,11.6,0.8
04:11:30.845,279,5.5,1.3,13.2,10.6,0.83
04:11:30.957,280,1.5,1.2,9.1,12.5,3.89
04:11:31.063,281,1.8,2.9,8.6,13.0,1.26
04:11:31.168,282,1.5,0.4,11.8,8.2,0.85
04:11:31.276,283,2.0,0.2,8.5,7.7,0.85
04:11:31.383,284,2.3,5.2,13.6,14.4,1.0
04:11:31.490,285,1.2,0.5,11.8,12.5,0.82
04:11:31.599,286,0.1,1.2,11.5,12.6,1.72
04:11:31.710,287,0.7,0.9,10.9,10.3,0.94
04:11:31.813,288,1.7,3.3,11.8,9.7,1.16
04:11:31.916,289,0.5,1.8,14.1,12.3,1.79
04:11:32.021,290,3.6,0.4,11.4,13.4,3.79
04:11:32.130,291,1.9,1.1,15.7,14.7,2.95
04:11:32.238,292,2.8,1.0,12.0,12.3,0.86
04:11:32.354,293,2.7,2.4,19.5,14.6,0.82
04:11:32.459,294,3.0,2.8,18.9,16.2,3.81
04:11:32.559,295,2.1,3.8,15.3,16.1,0.84
04:11:32.664,296,1.2,0.5,18.6,18.7,1.0
04:11:32.773,297,0.2,2.1,15.7,15.5,0.85
04:11:32.878,298,1.0,3.2,14.5,15.2,0.84
04:11:32.984,299,0.6,3.1,16.1,18.0,0.82
04:11:33.095,300,0.8,0.6,16.5,14.3,0.93
04:11:33.214,301,2.0,0.2,16.8,16.9,3.93
04:11:33.323,302,2.7,1.9,17.4,15.7,3.53
04:11:33.429,303,2.6,2.4,18.1,18.1,1.7
04:11:33.532,304,0.4,2.5,14.7,16.7,2.69
